"Timestamp","What is your age range?","What is your current level of education?","What is your role in the school community? ","Do you care about recycling?","How important do you think recycling is for climate change?","How would you rate the school's recycling measures?","How often do you recycle? ","Can you clearly differentiate recyclable and non-recyclable products? ","What types of materials do you usually recycle?","Can you easily find a place for recycle at school? ","Would you like to learn more about how to recycle?","Do you find recycling difficult?","Do you think recycling rates need to be increased? If yes, what do you think is the most effective way?","What do you find most challenging about recycling?  "
"2023/11/18 9:47:58 pm GMT","18-25","Secondary School","Student","Don't care much","Important","1","Rarely","Not so clear","Do not recycle any materials","Difficult","Slightly interested","Somewhat difficult","Not sure","Not enough info on why I should bother recycling in the first place"
"2023/11/18 9:49:19 pm GMT","18-25","University","Student","Somewhat","Moderate","4","Often","Very clear","Plastic","Easy","Interested","Somewhat difficult","Improving accessibility to recycling facilities","not sure"
"2023/11/18 9:52:28 pm GMT","18-25","University","Teacher","Don't care much","Important","3","Often","Very clear","Plastic","Easy","Interested","Not really difficult","Rewarding recycling behaviors","When stuff I thought was recyclable ends up in the landfill anyway"
"2023/11/18 9:54:25 pm GMT","18-25","University","Student","Absolutely","Very important","5","Always","Extremely clear","Paper","Very Easy","Interested","Not really difficult","Rewarding recycling behaviors","time"
"2023/11/18 9:55:37 pm GMT","26-40","University","Staff (Grounds, Food Services, etc.)","Somewhat","Important","4","Often","Very clear","Paper;Plastic;Metal;Glass","Easy","Interested","Somewhat difficult","Improving accessibility to recycling facilities","Some people don't think it's necessary to recycle"
"2023/11/21 5:03:58 pm GMT","26-40","Primary School","Teacher","Somewhat","Important","4","Sometimes","Somewhat clear","Paper;Plastic;Metal;Glass","Easy","Interested","Neutral","Increasing education and awareness","Teahcing young students would be a big chanllenge."
"2023/11/21 5:05:08 pm GMT","26-40","Primary School","Teacher","Somewhat","Important","4","Often","Very clear","Paper;Plastic","Easy","Interested","Neutral","Rewarding recycling behaviors","You can't keep up with the rate and volume of waste"
"2023/11/21 5:05:51 pm GMT","26-40","Primary School","Staff (Grounds, Food Services, etc.)","Somewhat","Moderate","3","Often","Somewhat clear","Paper;Plastic;Metal;Glass","Easy","Neutral","Neutral","Not sure","If a lot of trash mixed together, that would be a problem"
"2023/11/21 5:06:28 pm GMT","26-40","Secondary School","Student","Don't care much","Not very important","1","Rarely","Not so clear","Do not recycle any materials","Very Difficult","Not interested at all","Yes","Not sure","There are no good facilities to provide recycling assistance"
"2023/11/21 5:06:59 pm GMT","26-40","Primary School","Parent","Absolutely","Important","4","Often","Somewhat clear","Paper;Plastic;Metal;Glass","Easy","Interested","Not really difficult","Not sure","N/a"
"2023/11/21 5:07:42 pm GMT","Under 18","Primary School","Student","Somewhat","Important","4","Often","Very clear","Paper;Plastic","Easy","Interested","Somewhat difficult","Improving accessibility to recycling facilities","Not Sure"
"2023/11/21 5:08:24 pm GMT","41-60","Secondary School","Teacher","Don't care much","Not very important","2","Rarely","Not so clear","Paper","Difficult","Slightly interested","Somewhat difficult","Not sure","People are very lazy"
